row_type,timestamp,account,exchange,product,market_key,order_id,source,order_tag,algo_role,operator,strategy,leg_id,side,price,size,synthetic_units,contract_count,status,pnl,notional,synthetic_legs,order_details
fill,2026-06-29T04:14:41.831Z,Parent,CME,YM_ES,YM_ES,fut-YM_ES-BID-2718-1782707419755-3,manual,MANUAL,,Operator 1,depth-ladder,fut-YM_ES-BID-2718-1782707419755-3-L38,BUY,2719.00,1,1,1,FILLED,0,0,[],MANUAL CME YM_ES BUY 1 @ 2719.00
fill,2026-06-29T04:14:34.294Z,Parent,CME,YM_ES,YM_ES,fut-YM_ES-BID-2719-1782707423952-4,manual,MANUAL,,Operator 1,depth-ladder,fut-YM_ES-BID-2719-1782707423952-4-L37,BUY,2719.00,1,1,1,FILLED,0,0,[],MANUAL CME YM_ES BUY 1 @ 2719.00
fill,2026-06-29T04:14:12.014Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-3-1782703272075-COVER-1782706241219,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-3-1782703272075-COVER-1782706241219-L33,SELL,2720.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2720.00
fill,2026-06-29T04:14:12.014Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-3-1782703272075-COVER-1782706241220,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-3-1782703272075-COVER-1782706241220-L34,SELL,2720.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2720.00
fill,2026-06-29T04:14:12.014Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-2-1782703272074-COVER-1782706241219,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-2-1782703272074-COVER-1782706241219-L35,SELL,2724.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2724.00
fill,2026-06-29T04:14:12.014Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-1-1782703272074-COVER-1782706241219,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-1-1782703272074-COVER-1782706241219-L36,SELL,2728.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2728.00
fill,2026-06-29T03:56:45.025Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-4-1782703272075-COVER-1782706241219,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-4-1782703272075-COVER-1782706241219-L31,SELL,2716.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2716.00
fill,2026-06-29T03:56:45.025Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-4-1782703272075-COVER-1782706241220,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-4-1782703272075-COVER-1782706241220-L32,SELL,2716.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2716.00
fill,2026-06-29T03:56:39.082Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-1-1782703272074,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-1-1782703272074-L27,BUY,2722.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2722.00
fill,2026-06-29T03:56:39.082Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-2-1782703272074,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-2-1782703272074-L28,BUY,2718.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2718.00
